측정소명,년월일,용존산소(㎎/L),생물화학적산소요구량㎎/L),화학적산소요구량(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소(㎎/L),클로로필 a(㎎/㎥),확정구분
공지천3,2022.12.05,12,3.3,3.5,2.983,0.025,2.2,11.4,확정
공지천3,2023.01.09,,,,,,,,확정
공지천3,2023.02.06,,,,,,,,확정
공지천3,2023.03.06,12.9,2.1,4.1,3.259,0.047,1.9,3.6,확정
공지천3,2023.04.03,12.3,2.5,3.2,2.734,0.029,2.4,34.4,확정
공지천3,2023.05.08,10.4,2.5,4.2,2.736,0.063,5.3,2.8,확정
공지천3,2023.06.07,10.1,3.1,4.6,2.495,0.092,2.8,9.6,확정
공지천3,2023.07.19,9.7,0.5,2.5,4.222,0.091,2,0,확정
공지천3,2023.08.07,8.9,2.2,5.4,2.247,0.061,2.9,8.1,확정
공지천3,2023.09.04,11.8,3.3,4.9,2.955,0.049,2.5,23.7,확정
공지천3,2023.10.16,13.4,3.5,4.5,2.806,0.022,2.9,43.1,확정
공지천3,2023.11.14,11.1,2.2,3.6,2.252,0.035,2.2,29.1,확정
공지천3,2023.12.04,12,1.5,2.9,2.779,0.016,2.3,9,확정
공지천3,2024.01.08,12.9,1.4,2.7,2.789,0.025,1.8,2.1,확정
공지천3,2024.02.05,,,,,,,,확정
공지천3,2024.03.04,12.4,1.1,3.5,2.72,0.026,1.9,1.1,확정
공지천3,2024.04.01,11.3,0.9,3,2.31,0.079,2.2,3.8,확정
공지천3,2024.05.07,8.3,2,4.6,2.259,0.107,3.3,6.4,확정
공지천3,2024.06.03,10.3,6.3,5.6,2.439,0.036,4.2,21.8,확정
공지천3,2024.07.01,8.2,0.8,4.4,4.057,0.101,3.8,2.8,확정
공지천3,2024.08.12,10.6,2,4,2.146,0.033,2.6,40,확정
공지천3,2024.09.02,9.6,1.2,3,2.621,0.05,2.1,25.5,확정
공지천3,2024.10.07,10.6,1.3,3.2,2.171,0.015,2.3,15.7,확정
공지천3,2024.11.04,10.8,1.5,3.4,3.26,0.034,2.2,12.8,확정
공지천3,2024.12.02,12.1,2.7,4.5,2.708,0.03,3.4,35.2,확정
공지천3,2025.01.06,13.2,1,3.3,2.697,0.025,2.1,14.5,확정
공지천3,2025.02.03,13.4,0.3,3,2.985,0.028,2,4.5,확정
공지천3,2025.03.04,13.3,0.8,4.3,3.182,0.033,3,8.3,확정
공지천3,2025.04.07,10.6,4.3,7.3,4.242,0.068,5,37.4,확정
공지천3,2025.05.07,9.7,1.4,4.5,3.578,0.047,2.5,10,확정
공지천3,2025.06.04,8.9,4.6,4.3,2.485,0.046,3.4,44.4,확정
공지천3,2025.07.07,12,0.7,4.6,2.246,0.048,3.3,62.5,확정
공지천3,2025.08.18,8,0.1,3.3,5.193,0.076,2.3,7.8,확정
공지천3,2025.09.01,6.5,1,8.5,3.935,0.151,3.5,3.8,확정
공지천3,2025.10.21,10,0.5,2.6,5.177,0.074,1.7,1.6,확정
